AVAILABILITY_365;CALCULATED_HOST_LISTINGS_COUNT;HOST_ID;HOST_NAME;ID;LAST_REVIEW;LATITUDE;LONGITUDE;MINIMUM_NIGHTS;NAME;NEIGHBOURHOOD;NEIGHBOURHOOD_GROUP;NUMBER_OF_REVIEWS;PRICE;REVIEWS_PER_MONTH;ROOM_TYPE
0;1;10246791;Jeanne;21154484;;5.250.941.293.403.410;1.346.055.530.411.160;3;One bedroom in a cosy flat in the heart of Berlin;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;0;0;;Private room
5;1;167202681;Raafat;22739713;05/11/2018;52.525.637.835.589.000;13.367.184.854.943.500;1;Schöne Zimmer in der Nähe vom Hb;Moabit Ost;Mitte;87;0;9.32;Private room
0;3;81030660;Isabell;20448073;;52.490.156.511.714.500;1.337.674.539.639.070;1;*Nice and central room + own balcony in Kreuzberg*;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;0;0;;Private room
124;1;49435601;Svenja;18612697;07/10/2018;5.242.035.748.459.900;1.336.627.505.411.740;1;Double room and kangaroos in Berlin;Marienfelde;Tempelhof - Schöneberg;26;0;1.43;Private room
10;3;83835882;Andi Und Maria;20218037;25/10/2018;5.251.065.661.518.390;13.379.386.653.080.000;1;Your Room in a large Apartment Potsdamer Platz;Regierungsviertel;Mitte;70;0;5.11;Private room
0;3;23943422;Stephan;20317884;04/09/2017;5.253.657.392.366.990;13.429.483.063.522.900;2;Beautiful apartment in Prenzlauer Berg;Prenzlauer Berg Süd;Pankow;1;0;0.07;Entire home/apt
343;17;1210739;TRIO Apartment Hotel;20671210;25/09/2018;5.251.892.958.238.170;13.525.893.780.830.900;3;Modernes Superior Apartment in ruhiger Lage;Marzahn-Süd;Marzahn - Hellersdorf;3;0;0.67;Entire home/apt
230;4;127309004;Kim;20717658;27/07/2018;5.250.583.788.224.840;13.465.071.124.332.800;3;S12 Sonntagstraße Prenzlauer Berg;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;4;0;0.32;Entire home/apt
0;1;159867873;Dhia;21911198;12/10/2018;52.460.238.565.427.400;13.333.189.859.871.200;1;Single bed in a small cosy appartement.;Albrechtstr.;Steglitz - Zehlendorf;10;8;1.49;Shared room
319;14;1391772;Sunflower Hostel;265416;17/10/2018;5.250.999.186.519.370;13.446.542.242.549.900;1;Colorful 6-bed-room in Berlin;Karl-Marx-Allee-Süd;Friedrichshain-Kreuzberg;58;9;0.73;Shared room
0;2;31643602;Steven;20189800;11/07/2018;5.251.188.590.886.390;1.346.821.861.667.080;2;TOP Lage in Fhain / Nähe Frankfurter Allee;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;7;10;0.47;Entire home/apt
0;1;46693909;Daniel;10834879;02/02/2016;5.248.205.784.027.950;13.437.810.080.482.100;1;Cheap Room Free;Reuterstraße;Neukölln;1;11;0.03;Private room
0;1;73996689;Clara Maj;14443689;17/09/2017;5.246.392.457.376.950;13.378.702.341.419.800;5;Bright Cosy Room;Tempelhof;Tempelhof - Schöneberg;5;12;0.18;Private room
0;2;24757938;Amira;9734774;;5.246.485.009.401.350;13.374.482.790.307.800;1;Sunny Room in Top Floor Apartment;Tempelhof;Tempelhof - Schöneberg;0;13;;Private room
0;1;51107633;Tina;22303688;;5.248.696.267.499.850;13.439.511.915.478.100;1;Perfectly closed to amazing spots !;Reuterstraße;Neukölln;0;14;;Private room
0;1;169248909;Louis;22874157;;525.327.910.404.877;13.345.569.109.193.700;7;Studenten WG-Zimmer in Moabit;Moabit Ost;Mitte;0;15;;Private room
8;1;15409654;Andrea;7465393;27/10/2018;52.461.165.964.367.300;13.434.454.179.780.400;7;Room in spacious & bright apartment;Britz;Neukölln;3;16;0.08;Private room
0;1;145397338;Markus;20392361;13/09/2018;5.250.650.552.393.510;133.011.448.036.512;6;Big & Bright room in Charlottenburg, Berlin;Neue Kantstraße;Charlottenburg-Wilm.;11;17;0.75;Private room
0;1;28242404;Tamás;23105909;31/03/2018;525.466.642.098.268;13.345.003.155.667.700;5;Spacious and bright double room;Parkviertel;Mitte;2;18;0.25;Private room
0;1;15681033;Robert;14042636;;5.246.547.829.630.880;13.488.524.861.309.000;14;Furnished 25 m2 room,  nice connection with S-Bahn;Baumschulenweg;Treptow - Köpenick;0;19;;Private room
0;1;48858329;Nikolaos;9424409;;5.243.322.030.488.290;13.214.287.367.473.100;1;N-Lelidis-Zimmer;Zehlendorf  Südwest;Steglitz - Zehlendorf;0;20;;Private room
32;2;20928021;Vivien;29559106;04/11/2018;52.524.605.406.821.900;13.331.055.962.562.500;1;Central, frisch renovierte Altbauwohnung;Moabit West;Mitte;2;21;2.0;Private room
310;1;17762172;Érica;5404544;18/07/2016;5.247.566.870.990.780;13.433.594.254.935.000;5;cozy room in neukölln;Neuköllner Mitte/Zentrum;Neukölln;7;22;0.17;Private room
0;1;125320201;Victoria;18168180;;5.255.906.097.027.490;13.464.873.884.180.100;1;Little and bright retro charme, room in a wg;Weißensee Ost;Pankow;0;23;;Private room
0;1;3173491;Penny;19618121;29/10/2018;52.482.305.268.938.400;1.342.677.226.519.900;4;Aïry cozy room with plants in the <3 of Neukölln;Neuköllner Mitte/Zentrum;Neukölln;6;24;0.45;Private room
0;1;10470457;Adeline;6393792;25/08/2017;52.550.501.393.884.800;13.352.059.729.115.500;1;Big room Berlin;Parkviertel;Mitte;2;25;0.13;Private room
1;1;8194642;Susanne;18649149;14/10/2018;5.249.922.430.164.600;13.414.816.175.999.100;2;Cozy transit space in Kreuzberg;Südliche Friedrichstadt;Friedrichshain-Kreuzberg;50;26;2.75;Shared room
30;1;108088817;Jenny;16470400;23/10/2018;5.248.897.958.021.510;13.451.724.674.374.200;1;Nice and comfortable room in Berlin, Alt Treptow;Alt  Treptow;Treptow - Köpenick;53;27;2.36;Private room
159;1;4105067;Phuong;25184841;14/08/2018;52.471.928.605.811.300;1.343.033.196.791.670;2;Room in Neukölln;Neuköllner Mitte/Zentrum;Neukölln;1;28;0.35;Private room
0;1;17340959;Quique;13501425;;52.491.744.808.297.100;133.880.880.405.338;5;Beautiful room Kreuzberg;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;0;29;;Private room
11;1;223502197;Ela;29700633;;52.517.205.132.594.200;13.458.159.505.941.100;1;Cosy room in Friedrichshain;Frankfurter Allee Nord;Friedrichshain-Kreuzberg;0;30;;Private room
240;1;4904972;Paula;1292808;03/11/2018;524.992.767.288.692;1.340.786.563.181.680;4;Central private room next to the canal.;Südliche Friedrichstadt;Friedrichshain-Kreuzberg;52;31;0.82;Private room
72;1;10288311;Maggie;11369410;19/10/2018;5.248.740.858.044.670;133.176.009.236.465;2;schönes helles Zimmer/ bright nice room, City-West;Barstraße;Charlottenburg-Wilm.;31;32;0.97;Private room
0;1;9257826;Adi;18788249;07/06/2017;52.476.845.791.391.300;13.439.787.656.750.400;3;Cozy apartment in lively Neukölln!;Rixdorf;Neukölln;2;33;0.11;Entire home/apt
30;1;5730723;Jean-Louis;1604434;18/10/2018;5.247.421.773.448.260;13.444.430.132.756.000;3;Big bright room on Richard Platz;Rixdorf;Neukölln;265;34;4.31;Private room
0;1;2143592;Marc;10095476;18/04/2016;5.250.147.747.396.870;1.341.592.397.304.700;2;Studio in vibrant Kreuzberg Berlin;nördliche Luisenstadt;Friedrichshain-Kreuzberg;4;35;0.12;Entire home/apt
0;1;3218556;Marc;20131615;28/09/2018;5.253.549.007.738.770;1.344.014.052.292.840;2;Cozy and stylish room for your time in Berlin;Prenzlauer Berg Ost;Pankow;43;36;2.86;Private room
0;1;47766136;Christian;9179662;31/08/2016;52.492.194.227.947.000;13.427.308.096.380.000;14;50qm Altbauwohnung nähe Maybachufer;Reuterstraße;Neukölln;3;37;0.1;Entire home/apt
1;1;122355992;Neirin;17872989;11/10/2018;5.248.056.796.363.930;13.432.097.380.898.800;3;Light and Spacious;Neuköllner Mitte/Zentrum;Neukölln;24;38;1.48;Private room
290;1;70432978;Francisco;16533781;09/10/2018;5.252.279.007.968.450;13.453.316.531.257.300;2;nice and quite room in berlin/friedrichshain;Frankfurter Allee Nord;Friedrichshain-Kreuzberg;50;39;2.23;Private room
0;1;4585514;Maciej;16714541;11/01/2018;52.499.464.604.750.400;13.403.893.899.896.800;5;Cozy apartment in Kreuzberg;Südliche Friedrichstadt;Friedrichshain-Kreuzberg;7;40;0.32;Entire home/apt
0;1;34727209;Faima;6634634;02/10/2018;5.247.462.959.060.810;13.424.881.602.914.000;3;Cozy Apartment in Neukölln;Schillerpromenade;Neukölln;6;41;0.16;Private room
0;1;44376435;Dina;18676113;04/06/2017;52.502.983.683.003.200;13.296.196.829.700.200;2;Big and cozy room for rent;Neue Kantstraße;Charlottenburg-Wilm.;2;42;0.11;Private room
0;1;13371930;Mirko;9206174;02/07/2017;5.255.286.526.916.360;13.411.282.265.304.500;90;Schivel 3;Prenzlauer Berg Nordwest;Pankow;3;43;0.08;Entire home/apt
3;1;125552056;Kylo;21795570;03/11/2018;5.248.976.569.848.640;13.403.295.126.764.200;2;Kreuzberg, tolle Lage, ruhige Erdgeschoss Wohnung,;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;71;44;6.09;Entire home/apt
165;1;11763608;Marie;4822074;20/08/2018;5.251.180.030.617.720;13.458.938.875.719.000;4;Beautiful apartment - best location;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;17;45;0.36;Entire home/apt
0;1;31847112;Sibulele;9793842;02/01/2017;52.502.303.962.117.500;13.452.882.414.387.100;1;Comfy flat in the heart of Berlin!;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;4;46;0.11;Entire home/apt
54;1;2253917;Jude;16432848;31/10/2018;525.027.217.334.469;13.451.051.649.822.700;3;Stylish Room + Private Bathroom in Industrial Apt;Frankfurter Allee Süd FK;Friedrichshain-Kreuzberg;26;47;1.19;Private room
0;1;22686230;Zenia;13800647;02/01/2017;5.249.266.445.462.820;13.357.114.619.098.700;2;Stort rummelig værelse, i skønne Schöneberg Berlin;Schöneberg-Nord;Tempelhof - Schöneberg;1;48;0.04;Private room
103;2;3171163;Roi;2566846;21/10/2018;52.499.176.481.181.600;13.342.541.698.224.300;2;Luxury Apt & SAUNA on KuDamm/KaDeWe;Schöneberg-Nord;Tempelhof - Schöneberg;214;49;3.82;Entire home/apt
0;1;3634149;Elke;1268889;;524.965.411.334.472;13.413.629.217.828.100;365;One Year Sublet in Kreuzberg;Südliche Friedrichstadt;Friedrichshain-Kreuzberg;0;50;;Entire home/apt
164;5;203313206;Margret;27166438;03/11/2018;5.255.487.329.716.050;1.338.067.073.068.430;2;Zimmer in Berlin - genieße den goldenen Herbst;Wedding Zentrum;Mitte;2;51;2.0;Private room
35;1;37500287;Marie;21891484;02/04/2018;52.510.352.237.091.200;13.404.141.582.570.800;2;Private-Room in cosy Berlin Mitte apartment;Regierungsviertel;Mitte;1;52;0.14;Private room
0;1;3684735;Adèle;8337558;;52.491.980.408.625.400;13.417.223.858.908.600;7;Very central flat in Berlin!;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;0;53;;Entire home/apt
35;3;1285017;Katrin;27246695;01/09/2018;52.562.399.621.121.600;13.399.544.701.238.100;2;Quiet Apartment all in Pankow Flora Kiez;Pankow Zentrum;Pankow;2;54;0.82;Entire home/apt
0;1;79507863;Clemens;13670189;06/02/2018;5.249.026.831.136.190;13.394.669.543.757.600;3;Special appartment in Kreuzberg;Tempelhofer Vorstadt;Friedrichshain-Kreuzberg;4;55;0.14;Entire home/apt
0;3;1968246;Sabine;439631;20/08/2018;52.537.835.651.192.300;1.342.852.670.670.660;180;2 room stylish near Mauerpark  WLAN;Prenzlauer Berg Süd;Pankow;19;56;0.32;Entire home/apt
88;1;4838842;Roland;24415685;20/07/2018;5.253.114.201.924.310;13.398.226.108.987.100;4;Lovely quiet room in the heart of Berlin;Brunnenstr. Süd;Mitte;8;57;1.4;Private room
303;2;5240753;Christiane;965074;05/09/2018;5.240.711.995.857.190;13.533.014.984.702.100;1;Zimmer EFH, Pool, Garten, Terrassen;Altglienicke;Treptow - Köpenick;46;58;0.86;Private room
0;1;39998058;Aouefa;7832127;02/07/2018;52.470.465.843.931.600;13.435.061.454.901.200;3;Cozy Apt w balcon at Körnerpark;Neuköllner Mitte/Zentrum;Neukölln;10;59;0.26;Entire home/apt
0;5;43028367;Christine;16425302;;5.251.815.365.744.080;13.460.715.806.327.000;2;xmas & new years in berlin cosy private room;Frankfurter Allee Nord;Friedrichshain-Kreuzberg;0;60;;Private room
